Time[s],0,2,4,6
28.4,-0.666666667,2.333333333,-1.666666667,0.666666667
28.5,0.666666667,2.333333333,-2,-1.333333333
28.6,-1,2.666666667,0.333333333,-1
28.7,0.333333333,2.666666667,0,-1.666666667
28.8,0,1.333333333,-0.666666667,-1.666666667
28.9,-1.333333333,0.666666667,0,-1
29,-0.333333333,1.333333333,-0.666666667,-1.333333333
29.1,0.666666667,2,-0.333333333,0
29.2,-0.333333333,3.333333333,0,-1
29.3,-0.666666667,0.333333333,0.666666667,-0.333333333
29.4,-1.333333333,-0.666666667,0.333333333,-1.666666667
29.5,0,2.666666667,0.666666667,-2.333333333
29.6,-1.666666667,2.333333333,1,-1.333333333
29.7,-1.666666667,-1.333333333,0,-17.66666667
29.8,-11.66666667,-10.66666667,-4,-20.66666667
29.9,-14,-15.66666667,-10,-23.33333333
30,-20.33333333,-16.66666667,-18.33333333,-24
30.1,-22.66666667,-18,-21,-25
30.2,-23.66666667,-18.33333333,-21.66666667,-25
30.3,-24.66666667,-19,-23.66666667,-26.33333333
30.4,-25.66666667,-19,-25,-24.66666667
30.5,-26,-19.66666667,-24,-25.66666667
30.6,-27.33333333,-19,-24,-25.33333333
30.7,-28.66666667,-19.66666667,-26.66666667,-26.33333333
30.8,-27.66666667,-20.33333333,-25.33333333,-28
30.9,-28,-21.33333333,-25.66666667,-27
31,-27.33333333,-21,-26,-27
31.1,-27.33333333,-20.33333333,-26,-27.33333333
31.2,-28.33333333,-20,-27,-27.66666667
31.3,-28.66666667,-20.33333333,-27.33333333,-27
31.4,-27.66666667,-21.33333333,-27.33333333,-28.66666667
31.5,-28.33333333,-22.66666667,-26,-27.66666667
31.6,-26.33333333,-22.33333333,-26.66666667,-27.66666667
31.7,-28.33333333,-21,-27.66666667,-27.66666667
31.8,-28,-21.66666667,-26.33333333,-27.66666667
31.9,-27,-21.66666667,-26.33333333,-27
32,-29,-21.66666667,-28.66666667,-27.33333333
32.1,-28.66666667,-22.33333333,-26.66666667,-27.66666667
32.2,-27,-21.66666667,-26.33333333,-28.33333333
32.3,-27.66666667,-20.66666667,-27,-27.66666667
32.4,-30,-20.66666667,-28.33333333,-29
32.5,-28.33333333,-22.66666667,-25.66666667,-26.66666667
32.6,-28.66666667,-22,-27,-27.33333333
32.7,-28.66666667,-22.33333333,-27.66666667,-28.33333333
32.8,-28.33333333,-22,-26.66666667,-28.33333333
32.9,-29.33333333,-23,-28.33333333,-29.33333333
33,-29,-22.33333333,-28,-28.33333333
33.1,-29.66666667,-21.66666667,-26.33333333,-28.33333333
33.2,-28,-21,-28,-28.66666667
33.3,-29,-22,-27.66666667,-28
33.4,-28,-22.33333333,-27.33333333,-28
33.5,-28.66666667,-21.66666667,-27.33333333,-28.66666667
33.6,-28.33333333,-22.33333333,-27,-30
33.7,-29.66666667,-21.66666667,-26.66666667,-30.66666667
33.8,-28.66666667,-24,-28.66666667,-28.33333333
33.9,-29.33333333,-22.33333333,-29,-29
34,-29,-25,-27.33333333,-29.33333333
34.1,-29.33333333,-22.33333333,-27.33333333,-28.66666667
34.2,-29.66666667,-22.33333333,-28.33333333,-28.33333333
34.3,-30,-21.66666667,-27.66666667,-27.33333333
34.4,-30.66666667,-22.66666667,-26,-29
34.5,-29.33333333,-22,-28.66666667,-28
34.6,-29,-22,-28,-28
34.7,-29,-21.66666667,-27.66666667,-29
34.8,-30.66666667,-22.33333333,-28,-28
