x,z_original,z_tilt_corrected,waviness_component,z_corrected
47.5,0.029598421,0.1133174211035286,-0.005454954382185662,0.1193268910207039
47.75,-0.050524961,0.031769736002355914,-0.0228379789976441,0.055162230534989656
48.0,-0.150865339,-0.06999494509881683,-0.03773390241310254,-0.03170652715072465
48.25,-0.16203495,-0.08258885919998955,-0.05262769851427526,-0.029406645150724647
48.5,-0.154365153,-0.0763433653011623,-0.07106066672973371,-0.004728183036438943
48.75,-0.171417431,-0.094819946402335,-0.09038082194519215,-0.0038846089221532096
49.0,-0.099894656,-0.024721474503507736,-0.1083595592749363,0.0841926003064182
49.25,-0.148221866,-0.07447298760468045,-0.12309166169039473,0.049173189620703925
49.5,-0.191262113,-0.1189375377058532,-0.13587280450585318,0.017489782334989618
49.75,-0.183219987,-0.11231971480702589,-0.1499336661784545,0.038168466906418244
50.0,-0.279129756,-0.20965378690819864,-0.1616372070796272,-0.047462064293581796
50.25,-0.324999645,-0.25694797900937133,-0.17346520920937136,-0.08292825426501033
50.5,-0.289517497,-0.2228901341105441,-0.17714577485340122,-0.04518984372215323
50.75,-0.382411471,-0.3172084112117168,-0.18375277958314537,-0.13290111609358177
51.0,-0.439823298,-0.3760445413128895,-0.19771896551288953,-0.17777106026501033
51.25,-0.387921812,-0.32556735841406226,-0.21058627404263366,-0.11442656883643895
51.5,-0.371055695,-0.310125544515235,-0.2213175263438064,-0.08825350263643897
51.75,-0.396559651,-0.33705380361640774,-0.2494446572164077,-0.08705463086501039
52.0,-0.423292266,-0.3652107217175804,-0.2733858418032947,-0.09127036437929603
52.25,-0.338961668,-0.2823044268187532,-0.3247159877330389,0.04296607644927536
52.5,-0.32768036,-0.2724474219199259,-0.19778544974849732,-0.07410745663643892
52.75,-0.446562293,-0.39275365802109863,-0.07507915422109863,-0.31711998826501037
53.0,-0.494144864,-0.44176053212227134,0.07075994736344293,-0.5119659639507247
53.25,-0.480890254,-0.4299302252234441,0.1917333568908416,-0.6211090665792961
53.5,-0.43475974,-0.3852240143246168,0.21533005656109744,-0.5999995553507246
