x,z
161.75,2.082670711
162,2.03526056
162.25,1.992620779
162.5,1.984768014
162.75,1.992327218
163,2.010234458
163.25,2.037902611
163.5,2.055883242
163.75,2.073863872
164,2.05551629
164.25,2.032251556
164.5,2.016325855
164.75,2.007665797
165,2.030490188
165.25,2.070194355
165.5,2.106742739
165.75,2.110192084
166,2.096688264
166.25,2.075918801
166.5,2.079294756
166.75,2.085165982
167,2.086193447
167.25,2.08237715
167.5,2.061607687
167.75,2.041645518
168,2.045094863
168.25,2.0622682
168.5,2.072909798
168.75,2.078781024
169,2.060433442
169.25,2.038049392
169.5,2.029389333
169.75,2.03526056
170,2.041131786
170.25,2.048617599
170.5,2.054488825
170.75,2.060360052
171,2.085606324
171.25,2.086633789
171.5,2.063442445
171.75,2.047516744
172,2.041278566
172.25,2.037462269
172.5,2.043406886
172.75,2.04201247
173,2.03093053
173.25,2.010968361
173.5,2.002308303
173.75,1.991226363
174,1.963191258
174.25,1.947338947
174.5,1.938678889
174.75,1.944550115
175,1.979483911
175.25,2.032985459
175.5,2.060727003
175.75,2.128833227
176,2.104027296
176.25,2.07349692
176.5,2.035847682
176.75,2.022343862
177,2.020949446
177.25,2.024472181
177.5,2.027921527
177.75,2.02410523
178,2.027627966
178.25,2.035921073
178.5,2.058745464
178.75,2.09140416
179,2.097275386
179.25,2.088615328
179.5,2.072763017
179.75,2.066524839
180,2.065203813
180.25,2.056543755
180.5,2.045461815
180.75,2.044067399
181,2.042746373
181.25,2.036508195
181.5,2.020655884
181.75,2.02410523
182,2.049498283
182.25,2.060286661
182.5,2.075845411
182.75,2.080982734
183,2.084505469
183.25,2.076652704
183.5,2.070487917
183.75,2.074010652
184,2.088762108
184.25,2.097128606
184.5,2.071588772
184.75,2.063809397
185,2.076138972
185.25,2.072396065
185.5,2.068653159
185.75,2.067332133
186,2.066011107
186.25,2.058231732
186.5,2.030270017
186.75,2.002234912
187,2.005757648
187.25,2.011702265
187.5,2.007959358
187.75,2.016399245
188,2.029609504
188.25,2.023518107
188.5,2.007592406
188.75,2.020876055
189,2.036508195
189.25,2.042526202
189.5,2.041205176
189.75,2.046342499
190,2.033792753
190.25,2.043773838
190.5,2.036067853
190.75,2.029903066
191,2.047223183
191.25,2.075038117
191.5,2.102779661
191.75,2.106375787
192,2.090596866
192.25,2.077166437
192.5,2.075918801
192.75,2.077093046
193,2.066157887
193.25,2.055222729
193.5,2.053975093
193.75,2.038196173
194,2.036948537
194.25,2.033279021
194.5,2.034453266
194.75,2.076872875
195,2.104687809
195.25,2.074377604
195.5,2.044140789
195.75,2.059846319
196,2.065937716
196.25,2.057424439
196.5,2.061093955
196.75,2.059846319
197,2.058672074
197.25,2.163326681
197.5,2.171766569
197.75,2.156061039
198,2.154886793
198.25,2.187618879
198.5,2.150116422
198.75,1.812153964
199,1.967668068
199.25,1.993134512
199.5,1.987116505
199.75,1.999739641
200,2.013096681
200.25,2.028875601
200.5,2.027774746
200.75,2.029022382
201,2.044801302
201.25,2.055809851
201.5,2.069166891
201.75,2.093899431
202,2.107403251
202.25,2.085165982
202.5,2.074377604
202.75,2.080542392
203,2.085899886
203.25,2.084799031
203.5,2.053021019
203.75,2.034966998
204,2.031444263
204.25,2.032765288
204.5,2.031664434
204.75,2.028141698
205,2.036728366
205.25,2.047736915
205.5,2.056323584
205.75,2.078707633
206,2.087367692
206.25,2.108063764
206.5,2.109458181
206.75,2.108357326
207,2.100064219
207.25,2.072249285
207.5,2.052654067
207.75,2.037021927
208,2.040838225
208.25,2.04215925
208.5,2.041131786
208.75,2.03768244
209,2.036581586
209.25,2.037976002
209.5,2.057938171
209.75,2.043113325
210,2.022710814
210.25,2.036214634
210.5,2.053754922
210.75,2.057497829
211,2.049204722
211.25,2.048177257
211.5,2.035847682
211.75,2.04208586
212,2.052360506
212.25,2.058598684
212.5,2.050232186
212.75,2.016105684
213,2.027187624
213.25,2.061754468
213.5,2.089789573
213.75,2.081423076
214,2.080395611
214.25,2.081790027
214.5,2.075918801
214.75,2.053094409
215,2.03981076
215.25,2.031517653
215.5,2.021609959
215.75,2.018160613
216,2.03078375
216.25,2.051626603
216.5,2.072396065
216.75,2.044654522
217,2.043627057
217.25,2.054635606
217.5,2.070561307
217.75,2.067038571
218,2.04421418
218.25,2.018821126
218.5,2.016179074
218.75,2.02638033
219,2.025279475
219.25,2.019334859
219.5,2.015885513
219.75,2.01962842
220,2.013683803
220.25,2.024765743
220.5,2.02850865
220.75,2.029829675
221,2.048030477
221.25,2.073570311
221.5,2.077313217
221.75,2.076212362
222,2.079881879
222.25,2.064249739
222.5,2.043700447
222.75,2.027994917
223,2.024472181
223.25,2.032985459
223.5,2.041498737
223.75,2.040324492
224,2.056103413
224.25,2.086413618
224.5,2.07797373
224.75,2.088835499
225,2.087661253
225.25,2.097789119
225.5,2.08685396
225.75,2.047663525
226,2.019848591
226.25,2.00406967
226.5,2.010087677
226.75,2.023371327
227,2.060800394
227.25,2.0668184
227.5,2.043773838
227.75,2.023077765
228,2.02183013
228.25,2.020509104
228.5,2.031297482
228.75,2.034820218
229,2.02865543
229.25,2.022490643
229.5,2.026013378
229.75,2.029462724
230,2.032985459
230.25,2.031591043
230.5,2.022930985
230.75,2.033645972
231,2.060506832
231.25,2.055075948
231.5,2.029462724
231.75,2.015885513
232,2.002381693
232.25,1.979116959
232.5,1.965539749
232.75,1.981025108
233,2.00619799
233.25,1.999886422
233.5,2.005684258
233.75,2.021096226
234,2.029315943
234.25,2.020509104
234.5,2.031077311
234.75,2.035994463
235,2.020729275
235.25,2.004656793
235.5,2.010307848
235.75,2.028141698
236,2.052360506
236.25,2.028948991
236.5,1.994235367
236.75,1.997464541
237,1.998271835
237.25,1.984474453
237.5,1.978016104
237.75,2.005390696
238,2.073129969
238.25,2.035113779
238.5,2.005170525
238.75,2.001060667
239,2.027627966
239.25,2.047663525
239.5,2.048397428
239.75,2.041792299
240,2.047296573
240.25,2.035847682
240.5,2.017133149
240.75,2.020215543
241,2.013537023
241.25,2.011775655
241.5,1.997831493
241.75,2.002308303
242,1.993501463
242.25,1.993941805
242.5,2.007005284
242.75,1.992620779
243,1.971924707
243.25,1.984180892
243.5,2.016032294
243.75,2.054929167
244,2.062488371
244.25,2.104541029
244.5,2.109678352
244.75,2.100724732
245,2.081423076
245.25,2.070120965
245.5,2.065790936
245.75,2.037095318
246,2.025719817
246.25,1.99937269
246.5,2.031150701
246.75,2.033866143
247,2.053901703
247.25,2.075405069
247.5,2.066304668
247.75,2.086266837
248,2.120319949
248.25,2.103366783
248.5,2.077753559
248.75,2.056103413
249,2.03981076
