 ,Area,Mean,Min,Max
496,38,0.000,0,0
497,40,0.000,0,0
498,27,0.000,0,0
499,52,0.000,0,0
500,36,0.000,0,0
501,31,8.226,0,255
502,35,0.000,0,0
503,105,0.000,0,0
504,33,0.000,0,0
505,43,23.721,0,255
506,45,0.000,0,0
507,44,0.000,0,0
508,11,0.000,0,0
509,63,0.000,0,0
510,28,0.000,0,0
511,39,0.000,0,0
512,90,0.000,0,0
513,71,0.000,0,0
514,50,0.000,0,0
515,47,0.000,0,0
516,54,0.000,0,0
517,13,0.000,0,0
518,17,0.000,0,0
519,17,0.000,0,0
520,19,0.000,0,0
521,68,7.500,0,255
522,47,0.000,0,0
523,29,0.000,0,0
524,31,0.000,0,0
525,70,0.000,0,0
526,42,0.000,0,0
527,62,0.000,0,0
528,23,0.000,0,0
529,14,0.000,0,0
530,16,0.000,0,0
531,16,0.000,0,0
532,43,0.000,0,0
533,111,0.000,0,0
534,22,0.000,0,0
535,48,0.000,0,0
536,41,0.000,0,0
537,50,0.000,0,0
538,47,0.000,0,0
539,10,0.000,0,0
540,55,0.000,0,0
541,21,0.000,0,0
542,34,0.000,0,0
543,37,0.000,0,0
544,61,0.000,0,0
545,30,0.000,0,0
546,66,0.000,0,0
547,43,0.000,0,0
548,22,0.000,0,0
549,35,0.000,0,0
550,18,0.000,0,0
551,84,9.107,0,255
552,116,0.000,0,0
553,66,0.000,0,0
554,50,0.000,0,0
555,53,0.000,0,0
556,45,0.000,0,0
557,23,0.000,0,0
558,12,0.000,0,0
559,33,0.000,0,0
560,30,0.000,0,0
561,85,0.000,0,0
562,37,0.000,0,0
563,37,0.000,0,0
564,116,0.000,0,0
565,32,7.969,0,255
566,40,0.000,0,0
567,35,0.000,0,0
568,40,0.000,0,0
569,21,0.000,0,0
570,37,0.000,0,0
571,33,0.000,0,0
572,21,0.000,0,0
573,36,0.000,0,0
574,80,0.000,0,0
575,21,0.000,0,0
576,61,0.000,0,0
577,14,0.000,0,0
578,29,0.000,0,0
579,101,0.000,0,0
580,12,0.000,0,0
581,46,0.000,0,0
582,29,0.000,0,0
583,22,0.000,0,0
584,31,0.000,0,0
585,19,0.000,0,0
586,16,0.000,0,0
587,109,0.000,0,0
588,29,0.000,0,0
589,31,0.000,0,0
590,13,0.000,0,0
591,35,21.857,0,255
592,65,0.000,0,0
593,20,0.000,0,0
594,12,21.250,0,255
595,71,0.000,0,0
596,21,0.000,0,0
597,24,0.000,0,0
598,17,0.000,0,0
599,50,0.000,0,0
600,26,0.000,0,0
601,63,0.000,0,0
602,54,0.000,0,0
603,26,0.000,0,0
604,39,0.000,0,0
605,11,0.000,0,0
606,70,0.000,0,0
607,63,0.000,0,0
608,63,0.000,0,0
609,18,0.000,0,0
610,18,0.000,0,0
611,60,0.000,0,0
612,42,0.000,0,0
613,27,0.000,0,0
614,32,0.000,0,0
615,44,0.000,0,0
616,11,0.000,0,0
617,12,0.000,0,0
618,41,0.000,0,0
619,28,0.000,0,0
620,38,0.000,0,0
621,81,0.000,0,0
622,29,0.000,0,0
623,36,0.000,0,0
624,105,7.286,0,255
625,42,0.000,0,0
626,36,0.000,0,0
627,94,0.000,0,0
628,31,0.000,0,0
629,11,0.000,0,0
630,58,0.000,0,0
631,25,0.000,0,0
632,68,0.000,0,0
633,103,0.000,0,0
634,17,0.000,0,0
635,18,0.000,0,0
636,40,0.000,0,0
637,48,0.000,0,0
638,47,0.000,0,0
639,33,0.000,0,0
640,19,0.000,0,0
641,86,0.000,0,0
642,81,0.000,0,0
643,30,0.000,0,0
644,46,0.000,0,0
645,34,0.000,0,0
646,22,0.000,0,0
647,40,0.000,0,0
648,15,0.000,0,0
649,51,0.000,0,0
650,11,0.000,0,0
651,46,0.000,0,0
652,56,0.000,0,0
653,39,0.000,0,0
654,64,0.000,0,0
655,46,0.000,0,0
656,32,0.000,0,0
657,81,0.000,0,0
658,42,0.000,0,0
659,32,0.000,0,0
660,97,2.629,0,255
661,31,0.000,0,0
662,40,0.000,0,0
663,92,0.000,0,0
664,71,0.000,0,0
665,29,0.000,0,0
666,32,0.000,0,0
667,53,0.000,0,0
668,27,0.000,0,0
669,67,0.000,0,0
670,19,0.000,0,0
671,21,0.000,0,0
672,73,0.000,0,0
673,91,0.000,0,0
674,34,0.000,0,0
675,25,0.000,0,0
676,36,0.000,0,0
677,37,0.000,0,0
678,24,0.000,0,0
679,45,0.000,0,0
680,31,0.000,0,0
681,13,0.000,0,0
682,25,0.000,0,0
683,18,0.000,0,0
684,38,0.000,0,0
685,16,0.000,0,0
686,43,0.000,0,0
687,64,0.000,0,0
688,22,0.000,0,0
689,45,0.000,0,0
690,55,0.000,0,0
691,55,0.000,0,0
692,36,0.000,0,0
693,49,0.000,0,0
694,44,0.000,0,0
695,45,0.000,0,0
696,15,0.000,0,0
697,21,0.000,0,0
698,67,0.000,0,0
699,33,0.000,0,0
700,36,0.000,0,0
701,25,0.000,0,0
702,62,0.000,0,0
703,33,0.000,0,0
704,57,0.000,0,0
705,26,0.000,0,0
706,29,8.793,0,255
707,75,0.000,0,0
708,12,0.000,0,0
709,64,0.000,0,0
710,25,0.000,0,0
711,37,0.000,0,0
712,32,0.000,0,0
713,20,0.000,0,0
714,29,0.000,0,0
715,111,0.000,0,0
716,33,0.000,0,0
717,22,0.000,0,0
718,31,0.000,0,0
719,15,0.000,0,0
720,105,2.429,0,255
721,115,0.000,0,0
722,27,0.000,0,0
723,44,0.000,0,0
724,57,0.000,0,0
725,48,0.000,0,0
726,23,0.000,0,0
727,53,0.000,0,0
728,21,0.000,0,0
729,68,0.000,0,0
